size,time,forward_error,residual_norm
100,4.23e-6,1.2578826869003024e-15,1.7900932437238596e-16
200,2.8252e-5,3.0792035587978724e-15,2.8233437953190334e-16
300,5.9834e-5,4.872768855079812e-15,3.1719508045838667e-16
400,0.000110218,9.070799666943685e-15,4.253609323941001e-16
500,0.000191093,1.0709655384744111e-14,4.3524348788405827e-16
600,0.000277489,1.5098107949048275e-14,4.749152250371226e-16
700,0.00043897,2.0803834845293876e-14,5.234105376702505e-16
800,0.000509345,2.4776847240559617e-14,5.543245661114613e-16
900,0.000357044,2.8046700764308394e-14,5.7823412168333e-16
1000,0.00043838,3.758349187421573e-14,6.296769393007305e-16
1100,0.000562158,4.468486187130854e-14,6.579460003649896e-16
1200,0.001331101,5.411319540608396e-14,6.713140654345186e-16
1300,0.001834505,6.033361844314501e-14,6.776723519173337e-16
1400,0.001961473,6.649189135795756e-14,6.883167420231763e-16
1500,0.002758397,8.597648519052351e-14,7.453700949982206e-16
1600,0.003613256,9.519579569072789e-14,7.592910950414523e-16
1700,0.00514294,1.0718458800257023e-13,8.171425712330189e-16
1800,0.004517837,1.1656731135900607e-13,8.635738617505669e-16
1900,0.00720696,1.449870632909192e-13,8.393921049712947e-16
2000,0.006023999,1.5934520369853538e-13,8.680441209343441e-16
2100,0.008180056,1.7586688719074475e-13,8.826774481468399e-16
2200,0.007635029,2.0582020936062286e-13,9.094522574642415e-16
2300,0.011365043,2.392890716491721e-13,8.814401011968695e-16
2400,0.009930455,2.359584287218533e-13,9.304733148515982e-16
2500,0.012346779,2.852595493152421e-13,9.667873228266901e-16
2600,0.012256063,3.368680975194358e-13,9.980982796945739e-16
2700,0.014920664,3.899923182746925e-13,1.0228900504705367e-15
2800,0.014527137,3.937813963794667e-13,1.0051346390286564e-15
2900,0.01854483,4.706238846905763e-13,1.0404681224755602e-15
3000,0.017540393,6.302188030697202e-13,1.053966598801339e-15
3100,0.021097444,4.968653803806247e-13,1.113405284687345e-15
3200,0.019885942,6.315526920874785e-13,1.1394898494956123e-15
3300,0.02500887,8.321405853946078e-13,1.1365252582450782e-15
3400,0.018802378,9.307765995855894e-13,1.154139243140417e-15
3500,0.02250543,8.997618206052515e-13,1.1459763559111921e-15
3600,0.021937201,1.2435858824192792e-12,1.1909118703683244e-15
3700,0.032087861,1.2772545183665693e-12,1.190074522779372e-15
3800,0.031089423,1.4178886719699806e-12,1.217383810218824e-15
3900,0.036702884,1.3168629434764264e-12,1.2198251480332874e-15
4000,0.032791229,1.7991385325988296e-12,1.208903937515791e-15
4100,0.041054421,2.50653606271831e-12,1.2310130400021693e-15
4200,0.039659065,2.166911835151577e-12,1.2632153596892e-15
4300,0.051657132,2.879347277402786e-12,1.251441891047387e-15
4400,0.042715234,2.9619982981495028e-12,1.2384427598020728e-15
4500,0.045119646,3.6202525175196776e-12,1.2896689424941067e-15
4600,0.061564004,4.41648203515804e-12,1.3125433454897142e-15
4700,0.052922337,4.1247819344511294e-12,1.3103681529291665e-15
4800,0.044966646,4.9125663953431265e-12,1.3181851768263855e-15
4900,0.054698608,5.307278312972188e-12,1.377489153040471e-15
5000,0.051544943,6.930033125129808e-12,1.3407844184722068e-15
5100,0.065971414,7.418269027382006e-12,1.3822130855524942e-15
5200,0.063244639,6.833020089917921e-12,1.4045580584931718e-15
5300,0.070003528,9.175108618357066e-12,1.411662752063383e-15
5400,0.064234336,1.3075885538946355e-11,1.4397198467298117e-15
5500,0.07840906,1.2805864732260302e-11,1.4654780317532418e-15
5600,0.07150612,1.1614654595236543e-11,1.4968956223841575e-15
5700,0.090684984,1.546305298230558e-11,1.4775586598623019e-15
5800,0.082146504,1.7077998459846232e-11,1.4750040548219406e-15
5900,0.085554066,3.0263514839158776e-11,1.5038740436099772e-15
6000,0.088545398,2.7460504962530714e-11,1.5331852112046664e-15
6100,0.102270131,2.5706888748847127e-11,1.5401273100351768e-15
6200,0.09650521,3.081421533705578e-11,1.5388308325363525e-15
6300,0.109368244,3.6172250468292926e-11,1.5502847041674511e-15
6400,0.142933566,4.5713567271842744e-11,1.5852959903933196e-15
6500,0.102334686,4.12866903741998e-11,1.5791430469618246e-15
6600,0.113060234,3.811014899280243e-11,1.6076993983818203e-15
6700,0.129281577,5.5768453520183815e-11,1.6146572458986457e-15
6800,0.129868948,6.331876333711495e-11,1.6227637896991837e-15
6900,0.139153399,5.843352806453833e-11,1.668619719469231e-15
7000,0.135146206,9.767634374340979e-11,1.6391670322381247e-15
7100,0.131508289,1.0226283291219035e-10,1.6554509550813739e-15
7200,0.129206842,9.593422961894753e-11,1.667027064291603e-15
7300,0.14035222,1.1367417406160099e-10,1.6410846327128812e-15
7400,0.142821388,1.438796448199491e-10,1.6989448711847092e-15
7500,0.171562622,1.3675427978185232e-10,1.7064820984162323e-15
7600,0.173308211,1.6671126169611003e-10,1.7007733633535621e-15
7700,0.188651113,1.6642940764342444e-10,1.6980466122834794e-15
7800,0.183762251,2.544305437985757e-10,1.6840421161407783e-15
7900,0.202764563,2.6459452897328484e-10,1.6963389386592483e-15
8000,0.194000997,2.645619186505462e-10,1.694831900485708e-15
8100,0.219539652,4.144000189503444e-10,1.7413592724762936e-15
8200,0.220284903,4.582931203497046e-10,1.7325085457318577e-15
8300,0.237097256,5.903221625436017e-10,1.7334125272065753e-15
8400,0.21376378,6.350812067237264e-10,1.7402041614434739e-15
8500,0.237766512,6.048491244455741e-10,1.7562205055343228e-15
8600,0.247851696,7.033487866163419e-10,1.7812146623043573e-15
8700,0.2609961,1.120241230444283e-9,1.737353208962005e-15
8800,0.253456678,1.049766971201799e-9,1.7589039666757696e-15
8900,0.27099641,8.754129423484791e-10,1.7724924302968672e-15
9000,0.274418733,1.2905632446268812e-9,1.823763524826439e-15
9100,0.287096394,1.4047755206360135e-9,1.819494293893996e-15
9200,0.283865085,1.7761530890681707e-9,1.817936455168605e-15
9300,0.270301612,1.4431344729987283e-9,1.8443127993220688e-15
9400,0.305781574,2.1772230691709846e-9,1.868199104551057e-15
9500,0.315327654,2.1204374574343683e-9,1.8610059516173934e-15
9600,0.495558324,2.868235323296722e-9,1.8690223871592453e-15
9700,0.33160514,3.0295451422819783e-9,1.874740796260508e-15
9800,0.336118486,3.5534020908782186e-9,1.93453447428369e-15
9900,0.348985071,2.9524466090570183e-9,1.917170513745173e-15
10000,0.311332251,4.27126868327072e-9,1.9254537687583064e-15
